,geneid,chr,left,right
300686,cg16353568,21,32562898,32562899
300695,cg16353836,19,5574459,5574460
300697,cg16353899,1,154373366,154373367
300699,cg16353957,1,196147286,196147287
300703,cg16354201,1,33710894,33710895
300707,cg16354345,15,46799998,46799999
300710,cg16354520,1,150938331,150938332
300712,cg16354651,1,111548625,111548626
300713,cg16354688,1,16242852,16242853
300714,cg16354756,1,155364721,155364722
300719,cg16355231,1,2334839,2334840
300724,cg16355534,1,213108522,213108523
300737,cg16356622,1,36124428,36124429
300742,cg16356856,1,74436171,74436172
300750,cg16357353,1,20610374,20610375
300758,cg16357582,1,199743180,199743181
300759,cg16357661,1,240078521,240078522
300774,cg16358350,1,178739543,178739544
300775,cg16358430,1,92724780,92724781
300776,cg16358438,1,36462033,36462034
300777,cg16358446,1,1524847,1524848
300779,cg16358576,21,45468734,45468735
300780,cg16358679,15,76343990,76343991
300781,cg16358696,15,91774925,91774926
300792,cg16359129,1,160614376,160614377
300794,cg16359169,19,11937030,11937031
300797,cg16359406,15,39483354,39483355
300799,cg16359517,1,162452140,162452141
300800,cg16359521,1,19408458,19408459
300805,cg16359657,1,40892518,40892519
300808,cg16359901,1,6192222,6192223
300820,cg16360668,1,19137646,19137647
300821,cg16360717,1,235211553,235211554
300826,cg16360868,1,4732453,4732454
300827,cg16360971,1,169721275,169721276
300833,cg16361266,1,1303007,1303008
300835,cg16361301,1,216586172,216586173
300840,cg16361649,21,46248971,46248972
300845,cg16361876,1,150902502,150902503
300848,cg16361915,1,6054772,6054773
300863,cg16362305,1,243922164,243922165
300868,cg16362587,1,3802738,3802739
300873,cg16362786,21,44002154,44002155
300887,cg16363586,19,17377329,17377330
300888,cg16363695,1,149367268,149367269
300891,cg16363874,1,26437573,26437574
300903,cg16364506,1,179072367,179072368
300916,cg16365352,1,235021442,235021443
300919,cg16365424,1,232767259,232767260
300922,cg16365663,1,51478466,51478467
300925,cg16365729,1,243065517,243065518
300927,cg16365807,21,41481522,41481523
300929,cg16365973,1,11908837,11908838
300930,cg16366073,21,31107447,31107448
300931,cg16366262,1,1108020,1108021
300933,cg16366349,1,96960391,96960392
300935,cg16366373,1,35273832,35273833
300941,cg16366639,1,223955742,223955743
300953,cg16366945,1,230037280,230037281
300956,cg16367085,21,35182601,35182602
300964,cg16367786,1,17812867,17812868
300967,cg16368004,1,201163224,201163225
300979,cg16368763,1,229363263,229363264
300981,cg16369235,21,44543832,44543833
300988,cg16369786,1,62926392,62926393
300993,cg16370258,1,231003833,231003834
301000,cg16370586,1,179554259,179554260
301004,cg16370685,1,149165787,149165788
301006,cg16370716,1,159395879,159395880
301019,cg16371229,1,231315468,231315469
301025,cg16371538,1,37713400,37713401
301028,cg16371752,1,148868413,148868414
301030,cg16371860,21,41802318,41802319
301044,cg16372625,1,92722437,92722438
301048,cg16372810,1,2982500,2982501
301051,cg16372976,1,174439608,174439609
301054,cg16373023,15,60470144,60470145
301067,cg16373765,1,16735880,16735881
301071,cg16373880,1,181541261,181541262
301074,cg16373998,1,93069576,93069577
301081,cg16374333,1,155370265,155370266
301087,cg16374471,1,84316539,84316540
301089,cg16374663,15,39592323,39592324
301091,cg16374906,1,219905006,219905007
301092,cg16374910,1,199351618,199351619
301094,cg16374972,21,43636393,43636394
301107,cg16375948,1,90949275,90949276
301111,cg16376048,15,50540003,50540004
301119,cg16376461,21,45797727,45797728
301121,cg16376612,15,43666403,43666404
301123,cg16376691,1,100088073,100088074
301133,cg16377351,15,75498954,75498955
301134,cg16377367,1,85516085,85516086
301135,cg16377368,15,76184113,76184114
301141,cg16377819,15,73362214,73362215
301143,cg16377872,19,14945823,14945824
301144,cg16377880,19,15612167,15612168
301148,cg16377948,1,113023180,113023181
301156,cg16378215,1,148151889,148151890
301160,cg16378352,1,60052694,60052695
301171,cg16379311,15,57452525,57452526
301176,cg16379513,1,32599737,32599738
301180,cg16379716,15,73752482,73752483
301181,cg16379885,1,37272956,37272957
301184,cg16380285,1,1217874,1217875
301188,cg16380632,1,7560103,7560104
301192,cg16380888,1,16436541,16436542
301194,cg16381028,1,144300495,144300496
301199,cg16381449,15,42068797,42068798
301204,cg16381752,1,178113708,178113709
301207,cg16382030,1,212236535,212236536
301210,cg16382158,1,233539137,233539138
301212,cg16382314,1,2190822,2190823
301214,cg16382382,1,92123635,92123636
301220,cg16382778,1,150273839,150273840
301221,cg16383001,1,100208131,100208132
301223,cg16383081,1,20860824,20860825
301227,cg16383318,19,57476611,57476612
301228,cg16383389,1,94084978,94084979
301230,cg16383573,1,1006882,1006883
301233,cg16383910,15,76074727,76074728
301234,cg16384073,1,22023185,22023186
301235,cg16384136,15,24798644,24798645
301239,cg16384492,1,39807068,39807069
301240,cg16384496,15,58671631,58671632
301243,cg16384593,1,1830296,1830297
301247,cg16384849,1,34414973,34414974
301249,cg16384864,1,16620022,16620023
301250,cg16384875,1,117465599,117465600
301253,cg16385029,1,94036859,94036860
301256,cg16385298,1,224028367,224028368
301265,cg16385583,1,245778218,245778219
301269,cg16385763,1,21459418,21459419
301273,cg16385939,1,143225356,143225357
301280,cg16386293,1,148747480,148747481
301281,cg16386362,15,22994613,22994614
301282,cg16386396,1,3122318,3122319
301285,cg16386488,15,60965746,60965747
301287,cg16386641,1,78049962,78049963
301291,cg16386806,1,4630588,4630589
301293,cg16386950,1,199882700,199882701
301299,cg16387254,1,229538910,229538911
301310,cg16387834,15,36122218,36122219
301311,cg16387850,1,46755476,46755477
301312,cg16387947,1,25629800,25629801
301315,cg16388674,1,1900291,1900292
301319,cg16388983,1,212787428,212787429
301323,cg16389252,1,884464,884465
301324,cg16389285,15,23659492,23659493
301329,cg16389407,1,242443243,242443244
301333,cg16389560,15,41306337,41306338
301338,cg16389924,15,77085659,77085660
301348,cg16390448,15,91416722,91416723
301351,cg16390944,1,54645947,54645948
301357,cg16391327,15,36533340,36533341
301361,cg16391608,1,154413232,154413233
301366,cg16391783,15,70454937,70454938
301367,cg16391792,15,56510949,56510950
301368,cg16391955,1,50653772,50653773
301371,cg16392111,1,54990593,54990594
301376,cg16392310,19,7819967,7819968
301381,cg16392691,1,28460358,28460359
301392,cg16393156,1,177824061,177824062
301393,cg16393182,1,18345489,18345490
301405,cg16393905,1,199872356,199872357
301406,cg16393928,1,3125696,3125697
301410,cg16394138,1,178867986,178867987
301411,cg16394260,1,93584332,93584333
301412,cg16394290,1,36561003,36561004
301415,cg16394551,1,3220217,3220218
301422,cg16395183,1,208838322,208838323
301425,cg16395336,15,99649698,99649699
301426,cg16395366,1,53330833,53330834
301427,cg16395432,1,26753394,26753395
301431,cg16395679,1,43126567,43126568
301433,cg16395892,15,23502161,23502162
301436,cg16395997,1,3552658,3552659
301444,cg16396417,19,63777071,63777072
301447,cg16396527,1,32888481,32888482
301448,cg16396542,1,89245736,89245737
301453,cg16396921,1,32526354,32526355
301457,cg16396978,1,25809264,25809265
301460,cg16397021,15,23504481,23504482
301467,cg16397401,1,162814823,162814824
301468,cg16397480,1,27688887,27688888
301472,cg16397638,1,226625706,226625707
301479,cg16397870,1,50574183,50574184
301482,cg16398051,15,98638989,98638990
301493,cg16398581,1,59759179,59759180
301495,cg16398686,1,94116848,94116849
301497,cg16398832,15,21213425,21213426
301503,cg16398976,15,49908973,49908974
301505,cg16399136,1,149370627,149370628
301508,cg16399300,1,66231275,66231276
301511,cg16399365,1,242280200,242280201
301523,cg16399855,1,2308481,2308482
301525,cg16399910,1,85815320,85815321
301531,cg16400196,1,95351726,95351727
301534,cg16400350,21,45238997,45238998
301542,cg16400631,1,91072803,91072804
301544,cg16400756,1,6028526,6028527
301545,cg16400794,1,27582437,27582438
301549,cg16400843,15,98157450,98157451
301556,cg16401270,1,32177056,32177057
301561,cg16401490,1,10627540,10627541
301565,cg16401668,1,48069492,48069493
301568,cg16401890,1,87257048,87257049
301573,cg16402387,1,180295299,180295300
301574,cg16402415,15,54809143,54809144
301582,cg16402746,1,159367759,159367760
301588,cg16402835,1,212597846,212597847
301592,cg16402893,1,153492723,153492724
301597,cg16403299,1,209656301,209656302
301602,cg16403565,1,179388868,179388869
301604,cg16403669,1,164401891,164401892
301608,cg16403860,21,33316282,33316283
301614,cg16404074,15,76721635,76721636
301628,cg16404569,1,241729850,241729851
301629,cg16404689,1,168030897,168030898
301637,cg16405019,1,18832212,18832213
301639,cg16405055,1,154430829,154430830
301646,cg16405308,15,91524254,91524255
301654,cg16405703,1,224960022,224960023
301656,cg16405801,1,16550684,16550685
301669,cg16406281,15,77276915,77276916
301673,cg16406658,1,27689351,27689352
301675,cg16406833,1,3558570,3558571
301680,cg16407044,1,160220606,160220607
301686,cg16407604,1,40496759,40496760
301701,cg16408537,15,60777227,60777228
301704,cg16408583,15,47235349,47235350
301705,cg16408593,1,117555114,117555115
301706,cg16408670,15,22857509,22857510
301711,cg16408815,1,155876712,155876713
301721,cg16409049,1,77519962,77519963
301723,cg16409235,1,70156476,70156477
301729,cg16409339,1,145022863,145022864
301730,cg16409367,15,35182046,35182047
301732,cg16409409,1,199128220,199128221
301740,cg16409744,1,170017405,170017406
301748,cg16410115,1,24112587,24112588
301750,cg16410338,15,40570413,40570414
301753,cg16410524,1,165871412,165871413
301756,cg16410706,1,210940586,210940587
301759,cg16410890,1,225989486,225989487
301761,cg16411101,1,54604241,54604242
301768,cg16411216,1,9263094,9263095
301773,cg16411445,21,39067793,39067794
301777,cg16411683,1,28296788,28296789
301784,cg16411979,1,117404631,117404632
301789,cg16412370,21,43903572,43903573
301790,cg16412460,1,106424097,106424098
301796,cg16412629,1,114851271,114851272
301821,cg16414143,1,6430077,6430078
301823,cg16414271,1,152202894,152202895
301828,cg16414568,15,89274515,89274516
301833,cg16414762,1,6767834,6767835
301835,cg16414821,1,149783402,149783403
301837,cg16414945,1,159985957,159985958
301844,cg16415604,1,153481199,153481200
301857,cg16415939,1,234149831,234149832
301860,cg16416158,1,21524885,21524886
301866,cg16416584,15,99536222,99536223
301869,cg16416718,1,6767106,6767107
301873,cg16416987,1,153444185,153444186
301874,cg16417028,1,205137448,205137449
301876,cg16417118,1,2152791,2152792
301878,cg16417258,1,909594,909595
301879,cg16417301,1,35024008,35024009
301881,cg16417374,1,25970897,25970898
301888,cg16417588,15,28881103,28881104
301890,cg16417831,21,32880282,32880283
301892,cg16417876,15,23660354,23660355
301896,cg16417937,1,27120599,27120600
301901,cg16418258,15,40627689,40627690
301904,cg16418374,1,40496501,40496502
301908,cg16418734,1,1710397,1710398
301913,cg16418817,21,39120355,39120356
301914,cg16418971,21,44785146,44785147
301917,cg16419034,15,40624715,40624716
301924,cg16419253,1,195435457,195435458
301928,cg16419354,1,177979972,177979973
301968,cg16421285,19,52325667,52325668
302001,cg16423186,15,57892616,57892617
302020,cg16423910,19,54535439,54535440
302030,cg16424439,21,44447433,44447434
302035,cg16424945,15,50061725,50061726
302039,cg16425161,15,45411876,45411877
302048,cg16425858,15,62578734,62578735
302073,cg16427107,15,73699979,73699980
302077,cg16427321,1,10839931,10839932
302081,cg16427513,1,228931722,228931723
302086,cg16427752,1,76034890,76034891
302094,cg16428322,1,158655830,158655831
302103,cg16429063,1,53543547,53543548
302108,cg16429182,1,11746682,11746683
302109,cg16429208,1,245759625,245759626
302121,cg16429975,1,6368219,6368220
302123,cg16430099,1,117851421,117851422
302124,cg16430166,1,231008091,231008092
302126,cg16430279,1,1256367,1256368
302130,cg16430402,1,5869973,5869974
302133,cg16430505,1,23424442,23424443
302144,cg16430862,1,17366393,17366394
302155,cg16431369,1,6617143,6617144
302161,cg16431705,1,85514798,85514799
302167,cg16431914,1,148818647,148818648
302170,cg16431978,21,30719803,30719804
302172,cg16432022,1,207987752,207987753
302173,cg16432031,1,12597501,12597502
302175,cg16432235,1,41749180,41749181
302176,cg16432326,1,1252958,1252959
302195,cg16433833,15,38843433,38843434
302233,cg16435782,21,38009269,38009270
302250,cg16436377,1,10647841,10647842
302289,cg16438688,1,155082153,155082154
302301,cg16439512,15,55386216,55386217
302305,cg16439823,15,88529024,88529025
302340,cg16442450,15,66898565,66898566
302349,cg16442953,15,51628747,51628748
302355,cg16443152,1,198974727,198974728
302370,cg16444103,15,67913565,67913566
302386,cg16445139,15,41450417,41450418
302400,cg16446045,15,73918690,73918691
302411,cg16446738,15,48964223,48964224
302417,cg16447058,15,62018497,62018498
302426,cg16447823,15,69201517,69201518
302447,cg16448960,21,33836532,33836533
302509,cg16451872,15,23235911,23235912
302518,cg16452272,15,47863751,47863752
302520,cg16452361,15,74270256,74270257
302523,cg16452651,21,33938743,33938744
302540,cg16453576,19,40928387,40928388
302569,cg16455476,15,58558832,58558833
302589,cg16456919,1,202922001,202922002
302609,cg16458021,21,42303576,42303577
302613,cg16458196,19,3529313,3529314
302615,cg16458494,15,93671266,93671267
302621,cg16458838,15,55037667,55037668
302622,cg16458866,1,40371366,40371367
302645,cg16460359,15,70399683,70399684
302648,cg16460466,15,66901042,66901043
302655,cg16460994,15,80410889,80410890
302706,cg16464322,19,44035414,44035415
302709,cg16464483,15,82540134,82540135
302711,cg16464704,1,26122076,26122077
302727,cg16465663,15,64072495,64072496
302736,cg16466278,15,41217185,41217186
302742,cg16466652,19,6222960,6222961
302766,cg16468079,15,87257585,87257586
302767,cg16468082,15,23700804,23700805
302769,cg16468182,15,41289249,41289250
302798,cg16469894,15,48003023,48003024
302800,cg16470140,15,75649153,75649154
302802,cg16470309,15,58671095,58671096
302832,cg16471933,19,50103642,50103643
302835,cg16472060,15,58477677,58477678
302876,cg16474696,19,13736014,13736015
302883,cg16475255,15,70459039,70459040
302897,cg16476317,19,44429644,44429645
302911,cg16477190,15,70399907,70399908
302915,cg16477324,19,45915171,45915172
302938,cg16478792,1,180724885,180724886
302954,cg16479674,1,247098570,247098571
302963,cg16480660,15,97609008,97609009
302979,cg16481281,19,60572655,60572656
303001,cg16482878,15,35189780,35189781
303014,cg16483916,19,5518758,5518759
303015,cg16484018,1,33275295,33275296
303020,cg16484450,15,98168507,98168508
303038,cg16485893,15,74091586,74091587
303043,cg16486059,1,26058843,26058844
303062,cg16487577,1,224165770,224165771
303066,cg16487794,1,64709244,64709245
303069,cg16487861,15,41573907,41573908
303071,cg16488035,1,152219713,152219714
303073,cg16488065,1,202923373,202923374
303075,cg16488174,1,16844172,16844173
303077,cg16488304,1,149385841,149385842
303080,cg16488544,1,212779537,212779538
303104,cg16489881,15,70683811,70683812
303105,cg16489895,1,155156868,155156869
303108,cg16489975,1,153000059,153000060
303111,cg16490096,1,40140248,40140249
303112,cg16490124,1,233358992,233358993
303113,cg16490126,1,15725702,15725703
303117,cg16490390,19,59386041,59386042
303118,cg16490440,1,143331785,143331786
303119,cg16490470,1,206457011,206457012
303132,cg16491046,1,245561606,245561607
303135,cg16491166,1,154519500,154519501
303138,cg16491274,1,16551419,16551420
303139,cg16491305,1,209586374,209586375
303141,cg16491362,1,19537657,19537658
303143,cg16491530,1,26538493,26538494
303150,cg16491909,1,152460354,152460355
303160,cg16492577,15,53497312,53497313
303164,cg16492707,21,14510479,14510480
303184,cg16494108,15,41907314,41907315
303192,cg16494597,19,15779694,15779695
303198,cg16495212,15,81114361,81114362
303202,cg16495696,15,88593873,88593874
303210,cg16496024,21,40160912,40160913
303240,cg16497718,21,42115390,42115391
303243,cg16497945,15,67934148,67934149
303271,cg16500018,19,7608178,7608179
303291,cg16501235,1,148512612,148512613
303294,cg16501323,21,44530046,44530047
303297,cg16501560,21,44902435,44902436
303310,cg16502686,21,45536530,45536531
303312,cg16502826,1,960100,960101
303347,cg16504798,19,8549540,8549541
303358,cg16505550,1,56818296,56818297
303360,cg16505687,1,234371792,234371793
303365,cg16505856,19,5773369,5773370
303369,cg16505953,19,4802963,4802964
303399,cg16507755,21,35086284,35086285
303404,cg16508002,21,16024870,16024871
303407,cg16508101,19,14025284,14025285
303415,cg16508600,1,202798006,202798007
303421,cg16508883,1,143803687,143803688
303428,cg16509142,19,977757,977758
303436,cg16509443,1,163779877,163779878
303440,cg16509577,1,54780258,54780259
303449,cg16510022,1,102235443,102235444
303451,cg16510040,1,39815019,39815020
303454,cg16510127,1,154313983,154313984
303459,cg16510409,19,20635910,20635911
303465,cg16510654,1,16203212,16203213
303468,cg16511061,19,49308965,49308966
303471,cg16511225,19,56612744,56612745
303473,cg16511392,1,62189181,62189182
303474,cg16511445,1,143828154,143828155
303475,cg16511454,1,201101094,201101095
303477,cg16511494,1,207854960,207854961
303485,cg16511983,1,120840243,120840244
303492,cg16512239,15,48845342,48845343
303495,cg16512390,1,226823337,226823338
303496,cg16512458,1,224135701,224135702
303499,cg16512640,19,47640023,47640024
303501,cg16512667,1,5731933,5731934
303504,cg16512755,1,32443503,32443504
303506,cg16512854,1,9676719,9676720
303510,cg16512885,1,4597779,4597780
303511,cg16512895,19,13271117,13271118
303512,cg16512924,15,26068277,26068278
303527,cg16513932,19,60824495,60824496
303529,cg16513984,1,12184471,12184472
303537,cg16514473,1,21523197,21523198
303545,cg16514995,1,100370048,100370049
303548,cg16515457,15,55129010,55129011
303549,cg16515477,1,49283919,49283920
303551,cg16515523,1,170078152,170078153
303553,cg16515600,1,114125596,114125597
303554,cg16515815,1,3512628,3512629
303561,cg16516270,1,154462055,154462056
303565,cg16516400,1,229243824,229243825
303566,cg16516405,1,223721777,223721778
303567,cg16516490,1,149047818,149047819
303568,cg16516556,1,54780768,54780769
303570,cg16516639,1,110852333,110852334
303575,cg16516919,1,201564334,201564335
303584,cg16517298,1,228479797,228479798
303587,cg16517394,1,171442985,171442986
303588,cg16517523,19,47618914,47618915
303593,cg16517702,1,199884476,199884477
303594,cg16517753,1,173558974,173558975
303605,cg16518291,19,62484069,62484070
303615,cg16518825,1,40398439,40398440
303621,cg16519173,1,46540283,46540284
303625,cg16519300,1,15957417,15957418
303630,cg16519477,1,51183428,51183429
303632,cg16519495,1,223849105,223849106
303635,cg16519660,1,143305363,143305364
303637,cg16519705,1,6162625,6162626
303638,cg16519742,19,61998659,61998660
303642,cg16519842,1,147666535,147666536
303649,cg16520191,15,67376084,67376085
303660,cg16520737,19,972368,972369
303662,cg16520795,1,36335240,36335241
303664,cg16520800,1,201202964,201202965
303666,cg16520955,15,83724276,83724277
303669,cg16521040,19,17278442,17278443
303672,cg16521245,1,45738182,45738183
303679,cg16521555,1,24941673,24941674
303681,cg16521605,19,51055180,51055181
303684,cg16521633,19,11003255,11003256
303691,cg16522107,15,63366267,63366268
303704,cg16523078,1,85488806,85488807
303710,cg16523185,1,2327194,2327195
303711,cg16523372,19,35056022,35056023
303712,cg16523380,1,10779294,10779295
303713,cg16523422,19,59136240,59136241
303717,cg16523490,1,41888416,41888417
303720,cg16523643,15,35182463,35182464
303728,cg16523839,19,9938134,9938135
303731,cg16524005,1,203593264,203593265
303732,cg16524049,1,163472130,163472131
303734,cg16524139,19,1602573,1602574
303737,cg16524240,15,91117191,91117192
303739,cg16524284,19,38045178,38045179
303740,cg16524286,15,24468943,24468944
303744,cg16524558,1,114147007,114147008
303748,cg16524716,19,58486430,58486431
303750,cg16524762,1,40399663,40399664
303752,cg16524818,1,234228918,234228919
303753,cg16524830,1,111308426,111308427
303763,cg16525260,15,23003034,23003035
303765,cg16525281,19,43502067,43502068
303771,cg16525470,19,10844625,10844626
303774,cg16525692,1,145181723,145181724
303775,cg16525738,1,72657667,72657668
303782,cg16526047,1,939756,939757
303783,cg16526106,19,52896342,52896343
303792,cg16526636,15,79238326,79238327
303794,cg16526705,19,17145481,17145482
303801,cg16527057,1,155335866,155335867
303820,cg16527552,19,47507885,47507886
303826,cg16527877,1,91808606,91808607
303827,cg16527939,1,1243833,1243834
303840,cg16528597,1,143724837,143724838
303843,cg16528891,1,35942115,35942116
303849,cg16529268,19,49973124,49973125
303850,cg16529307,1,89762675,89762676
303855,cg16529530,1,32460588,32460589
303857,cg16529563,19,54252096,54252097
303858,cg16529592,1,25164802,25164803
303863,cg16529686,1,198442176,198442177
303867,cg16529993,1,226649145,226649146
303871,cg16530130,1,31760944,31760945
303877,cg16530429,1,26610057,26610058
303881,cg16530498,19,54031588,54031589
303884,cg16530596,1,203494236,203494237
303891,cg16530970,15,78921534,78921535
303902,cg16531348,21,44201645,44201646
303910,cg16531833,1,233391034,233391035
303917,cg16532185,1,235318175,235318176
303918,cg16532223,1,6464670,6464671
303920,cg16532282,1,224338422,224338423
303922,cg16532399,1,37804313,37804314
303931,cg16532685,19,23974444,23974445
303934,cg16532755,21,25933353,25933354
303959,cg16534196,19,60781619,60781620
303960,cg16534233,1,42619064,42619065
303967,cg16534499,19,49247800,49247801
304056,cg16539595,15,34732734,34732735
304058,cg16539640,15,20496469,20496470
304064,cg16539981,19,54557185,54557186
304074,cg16540262,15,70670715,70670716
304080,cg16540768,1,95355235,95355236
304098,cg16541929,15,38001360,38001361
304102,cg16542125,15,76681057,76681058
304108,cg16542426,15,20757063,20757064
304116,cg16543009,15,32118806,32118807
304117,cg16543027,15,38386972,38386973
304134,cg16544704,21,42910346,42910347
304137,cg16544768,15,67532427,67532428
304144,cg16545196,15,43330790,43330791
304152,cg16545821,1,202385463,202385464
304153,cg16545954,1,2108148,2108149
304158,cg16546309,1,242080658,242080659
304162,cg16546432,1,232416886,232416887
304168,cg16546658,1,3218935,3218936
304169,cg16546681,1,153511142,153511143
304174,cg16546864,21,45217008,45217009
304183,cg16547341,19,62322503,62322504
304190,cg16547629,1,44656718,44656719
304197,cg16548177,1,109307811,109307812
304204,cg16548362,15,99206917,99206918
304205,cg16548568,1,4087905,4087906
304206,cg16548605,1,167720174,167720175
304216,cg16549043,1,154316750,154316751
304217,cg16549063,1,212404574,212404575
304223,cg16549308,1,234295378,234295379
304227,cg16549596,1,27061174,27061175
304231,cg16549694,1,41977512,41977513
304232,cg16549711,1,206108510,206108511
304235,cg16549957,1,12141520,12141521
304254,cg16550952,1,196393735,196393736
304261,cg16551326,19,47451358,47451359
304273,cg16551963,1,92460203,92460204
304275,cg16552153,1,9167152,9167153
304276,cg16552271,1,15265494,15265495
304279,cg16552589,1,195382457,195382458
304280,cg16552822,1,19151321,19151322
304290,cg16553083,1,222764703,222764704
304291,cg16553106,1,46578962,46578963
304292,cg16553119,1,163866075,163866076
304294,cg16553182,1,158335305,158335306
304295,cg16553238,1,9076841,9076842
304301,cg16553427,15,79345399,79345400
304303,cg16553447,15,74984938,74984939
304304,cg16553500,1,31942455,31942456
304308,cg16553757,15,64794185,64794186
304310,cg16554020,19,12724295,12724296
304312,cg16554145,1,239857573,239857574
304313,cg16554148,1,3620742,3620743
304315,cg16554164,1,32183265,32183266
304318,cg16554516,1,204747491,204747492
304328,cg16555165,15,43280034,43280035
304330,cg16555184,1,148249338,148249339
304336,cg16555417,1,40371359,40371360
304338,cg16555504,1,245778862,245778863
304339,cg16555505,1,181022787,181022788
304346,cg16555761,1,38228335,38228336
304351,cg16555896,1,2306216,2306217
304352,cg16555909,1,23593872,23593873
304353,cg16555926,1,3110879,3110880
304354,cg16556008,1,101133251,101133252
304358,cg16556166,1,204719647,204719648
304362,cg16556504,15,97321778,97321779
304368,cg16556696,1,74218049,74218050
304372,cg16556936,15,40352576,40352577
304375,cg16557111,1,159326053,159326054
304378,cg16557308,1,51855307,51855308
304382,cg16557698,1,37286077,37286078
304386,cg16557944,1,52840785,52840786
304388,cg16558172,1,27063654,27063655
304391,cg16558208,1,154536905,154536906
304393,cg16558307,1,3936398,3936399
304395,cg16558330,1,41658847,41658848
304401,cg16558465,1,244984502,244984503
304408,cg16558770,15,88349041,88349042
304411,cg16558908,1,33668824,33668825
304413,cg16558994,1,20895719,20895720
304414,cg16559025,1,2107285,2107286
304418,cg16559275,1,148788745,148788746
304426,cg16559708,1,7053082,7053083
304430,cg16560173,1,173280683,173280684
304432,cg16560209,1,2197719,2197720
304437,cg16560370,1,14018127,14018128
304455,cg16561256,1,1093129,1093130
304467,cg16562054,15,22827133,22827134
304471,cg16562251,1,165112245,165112246
304475,cg16562342,1,109585026,109585027
304478,cg16562486,1,2915600,2915601
304497,cg16563230,1,4614851,4614852
304501,cg16563454,1,29109656,29109657
304504,cg16563569,1,17392395,17392396
304505,cg16563656,1,229181426,229181427
304508,cg16563819,1,43627584,43627585
304510,cg16563938,1,3545302,3545303
304511,cg16564033,21,36989611,36989612
304514,cg16564156,1,199126494,199126495
304521,cg16564525,1,154827767,154827768
304524,cg16564710,1,151775463,151775464
304536,cg16565154,1,149395686,149395687
304537,cg16565161,1,153559350,153559351
304559,cg16566391,15,76418332,76418333
304563,cg16566605,1,13609419,13609420
304568,cg16567056,15,38387277,38387278
304569,cg16567087,15,82915413,82915414
304578,cg16567586,15,29950075,29950076
304609,cg16569309,19,40955869,40955870
304623,cg16570223,15,76701494,76701495
304634,cg16570746,19,54987382,54987383
304638,cg16570917,1,43768649,43768650
304644,cg16571372,15,86946583,86946584
304645,cg16571399,15,60726832,60726833
304651,cg16571836,15,88380813,88380814
304657,cg16572315,15,86811972,86811973
304660,cg16572540,19,13808229,13808230
304665,cg16572859,19,18124815,18124816
304667,cg16572908,1,154257465,154257466
304668,cg16572910,1,43653244,43653245
304669,cg16572957,1,2789214,2789215
304673,cg16573178,1,49015106,49015107
304680,cg16573386,1,1324371,1324372
304685,cg16573726,1,56438725,56438726
304689,cg16573863,1,1865875,1865876
304691,cg16573901,1,37834194,37834195
304694,cg16574073,1,25134333,25134334
304696,cg16574154,1,10574963,10574964
304697,cg16574155,1,27160055,27160056
304698,cg16574191,19,13924234,13924235
304712,cg16574962,1,145841213,145841214
304713,cg16575025,1,112083313,112083314
304718,cg16575209,19,41562606,41562607
304719,cg16575248,1,204875222,204875223
304728,cg16575461,1,2214967,2214968
304733,cg16575694,1,1263238,1263239
304735,cg16575981,1,12107622,12107623
304738,cg16576033,1,233335244,233335245
304748,cg16576569,1,179651790,179651791
304752,cg16576664,19,56303472,56303473
304758,cg16576935,1,89343133,89343134
304771,cg16577588,1,156345935,156345936
304774,cg16577607,1,28458450,28458451
304775,cg16577647,19,41084904,41084905
304776,cg16577665,1,119504217,119504218
304786,cg16578267,1,926911,926912
304792,cg16578549,1,9873319,9873320
304796,cg16578609,1,2388911,2388912
304798,cg16578727,15,72540525,72540526
304815,cg16579225,1,2312413,2312414
304825,cg16579646,1,119849875,119849876
304827,cg16579702,1,222466661,222466662
304831,cg16579893,1,23942101,23942102
304834,cg16579981,1,219550267,219550268
304840,cg16580496,1,37928981,37928982
304844,cg16580616,1,233323142,233323143
304850,cg16580742,15,79278515,79278516
304852,cg16580765,19,51908607,51908608
304855,cg16580934,19,57182122,57182123
304857,cg16580937,21,33268996,33268997
304864,cg16581103,1,56065723,56065724
304865,cg16581179,1,25148226,25148227
304874,cg16581476,15,22976911,22976912
304877,cg16581647,1,246135519,246135520
304879,cg16581800,15,72020086,72020087
304883,cg16581928,1,70652512,70652513
304886,cg16582156,1,109892747,109892748
304888,cg16582214,1,152181116,152181117
304890,cg16582344,1,226336830,226336831
304891,cg16582352,1,45802661,45802662
304898,cg16582732,1,9573792,9573793
304902,cg16582836,1,6874884,6874885
304909,cg16583193,19,3603060,3603061
304913,cg16583330,1,36688599,36688600
304915,cg16583536,1,22155271,22155272
304917,cg16583598,19,4503496,4503497
304920,cg16583923,19,12846755,12846756
304921,cg16583987,1,44282162,44282163
304922,cg16584020,19,3524832,3524833
304929,cg16584392,1,16963557,16963558
304934,cg16584518,1,32245618,32245619
304938,cg16584604,1,78664996,78664997
304940,cg16584662,15,72078888,72078889
304948,cg16585132,1,38237530,38237531
304949,cg16585234,1,25817389,25817390
304952,cg16585333,1,221369484,221369485
304962,cg16585911,1,154096888,154096889
304963,cg16585946,1,6754306,6754307
304965,cg16585985,1,159626890,159626891
304967,cg16586023,19,2953438,2953439
304969,cg16586104,1,95646112,95646113
